song_id;language;field;value
14726553;JA;name;幻想交響曲 作品14 第5楽章:サバトの夜の夢
14726558;JA;name;トリスティア 作品18 第1曲:宗教的瞑想曲
14726566;JA;name;トリスティア 作品18 第2曲:オフェーリアの死(バラード)
14726573;JA;name;トリスティア 作品18 第3曲:『ハムレット』の終幕のための葬送行進曲
14774721;JA;name;弦楽四重奏曲 第12番 へ長調 作品96《アメリカ》 第1楽章: Allegro ma non troppo
14774726;JA;name;弦楽四重奏曲 第12番 へ長調 作品96《アメリカ》 第2楽章: Lento
14774730;JA;name;弦楽四重奏曲 第12番 へ長調 作品96《アメリカ》 第3楽章: Molto vivace
14774734;JA;name;弦楽四重奏曲 第12番 へ長調 作品96《アメリカ》 第4楽章: Finale. Vivace, ma non troppo
14774738;JA;name;弦楽四重奏曲 第1番 ニ長調 作品11 第1楽章: Moderato e semplice
14774743;JA;name;弦楽四重奏曲 第1番 ニ長調 作品11 第2楽章: Andante Cantabile
14774749;JA;name;弦楽四重奏曲 第1番 ニ長調 作品11 第3楽章: Scherzo. Allegro non tanto - Trio
14774754;JA;name;弦楽四重奏曲 第1番 ニ長調 作品11 第4楽章: Finale. Allegro giusto - Allegro vivace
14774759;JA;name;弦楽四重奏曲 第2番 ニ長調 第1楽章: Allagro moderato
14774764;JA;name;弦楽四重奏曲 第2番 ニ長調 第2楽章: Scherzo. Allegro
14774768;JA;name;弦楽四重奏曲 第2番 ニ長調 第3楽章: Notturno. Andante
14774772;JA;name;弦楽四重奏曲 第2番 ニ長調 第4楽章: Finale. Andante - Vivace
14904081;JA;name;迷信
14904095;JA;name;イズント・シー・ラヴリー(可愛いアイシャ)
14904118;JA;name;夢の中の君
14904138;JA;name;オーヴァージョイド
14904145;JA;name;フォー・ユア・ラヴ
14904148;JA;name;真実の愛(愛してくれるなら)
14904156;JA;name;ドゥ・アイ・ドゥ
14904159;JA;name;汚れた街
14904165;JA;name;フォー・ワンス・イン・マイ・ライフ
14904171;JA;name;恋を抱きしめよう
14904175;JA;name;涙をとどけて
14904212;JA;name;マイ・シェリー・アモール
14904218;JA;name;アイ・ドント・ノウ・ホワイ
14904221;JA;name;太陽のあたる場所
14904242;JA;name;愛を贈れば
14904245;JA;name;楽園の彼方へ
14904248;JA;name;疑惑
14904251;JA;name;フィンガーティップス
14904254;JA;name;レゲ・ウーマン
14904259;JA;name;悪夢
14904268;JA;name;いつわり
14904278;JA;name;ハッピー・バースデイ
14989007;JA;name;子供の情景 作品15 第1曲: 知らない国々
14989012;JA;name;子供の情景 作品15 第2曲: 珍しいお話
14989019;JA;name;子供の情景 作品15 第3曲: 鬼ごっこ
14989024;JA;name;子供の情景 作品15 第4曲: おねだり
14989028;JA;name;子供の情景 作品15 第5曲: 満足
14989032;JA;name;子供の情景 作品15 第6曲: 大事件
14989036;JA;name;子供の情景 作品15 第7曲: トロイメライ(夢)
14989040;JA;name;子供の情景 作品15 第8曲: 炉辺で
14989044;JA;name;子供の情景 作品15 第9曲: 木馬の騎士
14989048;JA;name;子供の情景 作品15 第10曲: むきになって
14989052;JA;name;子供の情景 作品15 第11曲: おどかし
14989056;JA;name;子供の情景 作品15 第12曲: 子供は眠る
14989060;JA;name;子供の情景 作品15 第13曲: 詩人のお話
14989064;JA;name;クライスレリアーナ 作品16 第1曲: 激しく動いて
14989068;JA;name;クライスレリアーナ 作品16 第2曲: 心をこめて、速すぎずに
14989073;JA;name;クライスレリアーナ 作品16 第3曲: 激しく駆り立てられて
14989077;JA;name;クライスレリアーナ 作品16 第4曲: きわめて遅く
